Num episodes,Cumulative rewards
800,"[-2.0, 0.0, 12.0, 0.0, 8.0, -1.0, 26.0, -2.0, -2.0, 10.0]"
810,"[15.0, 50.0, 0.0, 1.0, 19.0, 8.0, 1.0, -1.0, 0.0, -2.0]"
820,"[2.0, 10.0, 22.0, 0.0, -1.0, 7.0, -2.0, -1.0, 22.0, 20.0]"
830,"[24.0, 39.0, 31.0, 28.0, 2.0, 0.0, 0.0, 28.0, -1.0, -1.0]"
840,"[10.0, -2.0, -1.0, 2.0, 19.0, -1.0, -2.0, -1.0, 14.0, 29.0]"
850,"[36.0, -1.0, 1.0, 3.0, 11.0, 10.0, -1.0, 11.0, 0.0, -1.0]"
860,"[34.0, 22.0, 0.0, 25.0, 19.0, 4.0, 0.0, 10.0, -1.0, -1.0]"
870,"[20.0, -1.0, -2.0, 13.0, 31.0, 14.0, -2.0, 21.0, 14.0, 0.0]"
880,"[19.0, -1.0, -2.0, -1.0, -3.0, 26.0, 14.0, 0.0, 8.0, -2.0]"
890,"[5.0, 25.0, 30.0, -2.0, -2.0, 18.0, -1.0, 33.0, -1.0, 30.0]"
900,"[3.0, 8.0, 19.0, -1.0, 1.0, 20.0, -1.0, -1.0, -1.0, 0.0]"
910,"[-1.0, -1.0, 24.0, -2.0, 17.0, -1.0, 20.0, 13.0, 8.0, 13.0]"
920,"[8.0, 11.0, -1.0, 22.0, -1.0, 12.0, 14.0, -2.0, 50.0, 21.0]"
930,"[-2.0, 15.0, 50.0, 24.0, -1.0, 14.0, -1.0, 20.0, 36.0, 20.0]"
940,"[-1.0, 9.0, 0.0, 0.0, 0.0, 1.0, -1.0, -3.0, 50.0, 22.0]"
950,"[-1.0, -2.0, 14.0, 0.0, 36.0, -2.0, 2.0, -1.0, 11.0, 5.0]"
960,"[0.0, 22.0, 18.0, 37.0, 9.0, 3.0, 14.0, 8.0, -1.0, 3.0]"
970,"[-1.0, 11.0, 50.0, 13.0, -1.0, 24.0, 17.0, -1.0, 27.0, 19.0]"
980,"[-1.0, 29.0, 22.0, 1.0, -2.0, 13.0, 5.0, 12.0, 17.0, 29.0]"
990,"[21.0, 2.0, 16.0, -1.0, -3.0, -3.0, 1.0, 18.0, -3.0, -2.0]"
1000,"[16.0, 19.0, -2.0, 19.0, 0.0, 19.0, 29.0, -1.0, -1.0, -1.0]"
1010,"[-3.0, 9.0, -1.0, 10.0, 1.0, 10.0, 11.0, 17.0, -1.0, -2.0]"
1020,"[-2.0, 8.0, 20.0, -2.0, -1.0, -1.0, 1.0, 29.0, 15.0, 3.0]"
1030,"[13.0, 25.0, 12.0, -2.0, 23.0, -1.0, 1.0, 11.0, 6.0, 20.0]"
