Num episodes,Cumulative rewards
1090,"[-579.6978148035181, -338.6991334080586, -390.1225448487725, -598.4870971485286, -313.0938619766553, -630.5024791557992, -423.77305524412844, -389.84883442673777, -135.8019726221144, -333.1469195356336]"
1100,"[-214.98080264481612, -333.88539948367594, -733.080016493993, -527.3195287981378, -230.4757887790319, -264.60361351103575, -97.17634607936102, -467.0432368980081, -343.5143186545023, -407.9448637008077]"
1110,"[-707.1510042435712, -501.244739038145, -224.1013256506523, -574.071727846728, -845.4519419010697, -919.5222990034993, -904.6098883336193, -132.80084516650768, -103.59806156316174, -551.0031367609777]"
1120,"[-591.0760261470003, -119.4225157357134, -601.4234814102708, -120.3937720028012, -80.90119055000383, -632.4619507721586, -1243.33015553817, -329.0751260829679, -171.82797709383044, -95.57165725855148]"
1130,"[-158.93434427749744, -198.43834082585323, -230.47901269731906, -131.5411033202316, -864.81530911821, -119.32816738528945, -2544.8745716610156, -256.6892190383045, -327.01816098883785, -469.00036774166495]"
1140,"[-486.9450933889613, -110.35371778663705, -127.72914296693031, -272.2789784632574, -221.6199202571799, -155.93041470473315, -164.9331173320687, -491.28947668097567, 23.320320715530073, -1477.0459764635193]"
1150,"[-335.7272430597763, -246.48873985389142, -376.3578811983522, -298.7802469338927, -319.26467891187235, 17.976509615410947, -152.76463613246315, -629.2032955517407, -282.3815504246347, -208.121965385524]"
1160,"[-837.7383228112525, -557.7971229775972, -143.74166788704323, -401.70357742732006, -382.12964225985183, -312.0740124857224, -180.39724932086597, -34.099727417798846, -927.0026157993823, -128.74359671571014]"
1170,"[-397.2052298709907, -813.2779685530071, -458.3682037437198, -279.09688475663603, -150.83684253949923, -488.010312336451, -164.1492967319487, -277.1776455632043, -429.30949953345726, -544.7890984974437]"
1180,"[-138.1401469461952, -264.4566128436062, -601.9217777398653, -161.7531386715068, -429.45724581654196, -388.29210002037735, -291.7647813756815, 25.877570622937583, -577.5866655014254, -306.6727517732985]"
1190,"[-541.5584704301367, -157.5843784970299, -671.101487020367, -937.6353760352217, -502.60543937612215, -677.2786497939856, -0.13169901155836072, -280.8034584612722, -293.4341216992939, -301.1812180711755]"
1200,"[-2233.315899897816, -520.6168008434988, -262.99931031784104, -950.7969186137893, -685.5307019209536, -323.22605303401747, -153.59202203556129, -476.9244624126494, -367.54837549707463, -962.1626014182704]"
1210,"[-1209.6078343642696, -540.0453197394138, -125.3662063412655, -384.6653360786397, -505.2786725833489, -271.5492879923445, -607.7317521459224, -185.50643326014963, -139.34454499906846, -216.38890284154107]"
1220,"[-537.7213715601195, -472.51568248538774, -527.9906139478385, -393.46663425744464, -149.36980471125742, -595.4227457000289, -428.0096815439431, -459.9381266348182, -171.96312062275138, -609.0448706830063]"
1230,"[-250.8907190313314, -352.8393199607501, -159.91193529981834, -146.29387913469253, -354.3513868557116, -527.9445709404702, -145.87028914393795, -145.57434858863573, -133.22765039049074, -534.218760605271]"
1240,"[-118.2493195404814, -420.65814985898515, -117.95736916115143, -265.29424538093974, -348.6484032675237, -132.66341690774524, -416.2297911193242, -86.35508561263097, -378.45529959886926, -408.65086160985857]"
1250,"[-281.6438290993014, -509.4917043006001, -307.16928651259985, -134.5345842702348, -177.6165893522144, -286.9154044321941, -134.26877119914593, -138.58990089297808, -227.2025927608297, -250.39889921535354]"
1260,"[-664.6104480760154, -399.19392244923824, -205.25625852634218, -271.7311895613246, 2.7000546962358953, -55.41537037894631, -268.55601371708485, -404.3397740700979, -164.81275044905368, -129.7430492948876]"
1270,"[-297.68622499386663, -196.72641188566854, -324.5169554412158, -162.58097210215877, -509.9310744143022, -140.39425445238402, -171.46084959130678, -164.0293935214442, -718.5934546534363, -133.34495234643902]"
1280,"[-118.87264177364014, -600.31854649307, -280.57095715425584, -168.71363230381456, -142.43798212576888, -289.6976166496355, -125.74516424531768, -341.01009020164315, -138.67155906083664, 20.980831458334904]"
1290,"[-797.8450772635144, -177.85894324320088, -119.82786006132685, -109.390349556254, -89.24869114794298, -137.33633125484312, -214.2067686801758, -318.74628767337754, -433.10160066035746, -323.9451791505266]"
1300,"[-220.649891176241, -548.6682133111885, -213.28170598153457, -162.42253815717058, -222.76189867595582, -736.9431270702487, -132.85848488050445, -381.0034646027111, -304.50732382649915, -920.329447297539]"
1310,"[-433.3816026415344, -382.57646206173183, -109.33177386831278, -295.60399884840706, -290.7309832680844, -138.6286824526312, -102.77147528656658, -144.58646044321912, -139.5792513770707, -412.3489813794193]"
1320,"[-195.99225325247897, -514.2514356770948, -133.8066037154974, -135.59772506372923, -159.33063107141737, -126.26885214058919, -98.98177361651099, -123.70905107836526, -52.92363735727872, -106.1621265360597]"
1330,"[-371.18419308971585, -176.41349765404374, -750.20127668832, -320.2074137878999, -386.3026818465383, -158.87893036272953, -126.04719399818404, -133.61840910347138, -615.8885066878712, -358.8980117531839]"
1340,"[-195.80925241079296, -161.31849390983695, -531.976514555842, -327.88623796812743, -109.22649448415874, -162.75957690906546, -92.33814383357148, -152.525690844861, -158.4854683533382, -120.38817109233469]"
1350,"[-202.14523091257968, -135.07441177182682, -174.84629206848496, -446.9677081857874, -262.41147981486307, -467.4958594402946, -286.25782771997467, -161.66052240077607, -265.4831211616989, -489.4685677897785]"
1360,"[-160.07942425202245, -166.99938560170398, -336.97323324569516, -101.27108551803477, -112.5248903836075, -704.7625649182437, -269.2123742600962, -135.8780780615262, -124.13986157824118, -160.8794938782401]"
1370,"[-165.1084891856559, -167.0900842853741, -265.9274561000213, -388.55682338466124, -148.85206326697832, -152.43063561626568, -348.1235052116298, -112.36057868725521, -341.14273098381557, -235.48288730067088]"
1380,"[-249.69543469011091, -123.9757614990358, -413.7474544900278, -408.9646235064453, -210.37620121621953, -394.0142934517604, -112.09090214243429, -148.93621427056283, -113.60217636462727, -332.9520185343249]"
1390,"[-311.9654994366576, -117.7276383449728, -176.5956933885421, -191.7247048908876, -136.98996012710765, -159.40084759485194, -511.30287248983933, -77.92042254522264, -283.491846489002, -501.1116232210433]"
1400,"[-13.11128560727569, -161.87001948217457, -340.47857709479496, -57.18608322175356, -145.76710634098183, -302.2366956363412, -168.90745984035686, -606.6620404917018, -229.07002464256473, -380.34246019301315]"
1410,"[-306.4768643109229, -144.33474878128266, -99.76275692781493, -445.24460156167993, -525.6836795968211, -119.26122106058315, -323.5138670471626, -5.894378688747395, -97.68130303286263, -161.71770162686624]"
1420,"[-133.8863566765777, -253.9512667010669, -436.8493674032035, -920.6566471435283, -528.897559319767, -348.9815738636249, -216.3049291109155, -507.9616198865856, -227.8672416779135, -132.4064425762955]"
1430,"[-313.03623414490187, -80.15745580898542, -207.27127835491234, -176.0220741389236, -326.2459228668192, -96.07991550830502, -181.63131336404683, -503.8055049069208, -450.93831969204365, -339.0155867642409]"
1440,"[-466.23209875432053, -103.48530238344799, -459.4499759451014, -559.3263498532866, -592.0868981963957, -535.1138680365367, -92.8514236755712, -344.33008972375575, -399.6098666001848, -196.8407468058345]"
1450,"[-381.9894730901596, -246.4460013659789, -432.7041520656526, -127.81786661322147, -518.4416131873942, -137.67773051002425, -888.2084998588745, -442.745577748138, -234.2770864634361, -442.5726835858425]"
