Num episodes,Cumulative rewards
790,"[13.0, 24.0, 12.0, 3.0, 39.0, 10.0, 26.0, 33.0, 38.0, 50.0]"
800,"[-1.0, 50.0, 26.0, 15.0, 28.0, 37.0, 6.0, 12.0, 5.0, 22.0]"
810,"[22.0, 50.0, 18.0, 50.0, 50.0, 50.0, 15.0, 24.0, 15.0, 37.0]"
820,"[-1.0, 6.0, 0.0, 2.0, 1.0, 4.0, 1.0, -1.0, 1.0, 4.0]"
830,"[16.0, 16.0, 32.0, 31.0, 50.0, 20.0, 25.0, 32.0, 50.0, 14.0]"
840,"[2.0, 5.0, -1.0, -1.0, 11.0, -1.0, -1.0, -2.0, -2.0, -3.0]"
850,"[2.0, 35.0, 34.0, 50.0, 30.0, 28.0, 20.0, 15.0, 30.0, 27.0]"
860,"[30.0, 7.0, 12.0, 17.0, 31.0, 27.0, 17.0, 17.0, 15.0, 22.0]"
870,"[50.0, 28.0, 9.0, 30.0, 13.0, 13.0, 22.0, 16.0, 27.0, 39.0]"
880,"[14.0, 9.0, 22.0, 20.0, 39.0, 15.0, 20.0, 24.0, 15.0, 16.0]"
890,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 29.0, 50.0, 18.0, 27.0]"
900,"[25.0, 16.0, 26.0, 0.0, 25.0, 24.0, 36.0, 14.0, 32.0, 15.0]"
910,"[31.0, 30.0, 27.0, 36.0, 27.0, 26.0, 19.0, 16.0, 32.0, 32.0]"
920,"[15.0, 14.0, 14.0, 50.0, 32.0, 15.0, 32.0, 25.0, 30.0, 27.0]"
930,"[19.0, 14.0, 28.0, 27.0, 50.0, 29.0, 50.0, 31.0, 13.0, 32.0]"
940,"[1.0, 50.0, 31.0, 36.0, 29.0, 10.0, 24.0, 12.0, 24.0, 50.0]"
950,"[36.0, 24.0, 25.0, 50.0, 37.0, 50.0, 38.0, 27.0, 50.0, 50.0]"
960,"[27.0, 25.0, 50.0, 15.0, 50.0, 13.0, 24.0, 37.0, 22.0, 25.0]"
970,"[27.0, 32.0, -3.0, 11.0, 50.0, 36.0, 30.0, 50.0, 23.0, 50.0]"
980,"[17.0, 50.0, 31.0, 17.0, 12.0, 35.0, 28.0, 21.0, 35.0, 26.0]"
990,"[-1.0, 14.0, 29.0, 29.0, 37.0, 5.0, 15.0, 31.0, 30.0, 14.0]"
1000,"[29.0, 18.0, 14.0, 16.0, 13.0, 18.0, 23.0, 36.0, 22.0, 50.0]"
