Num episodes,Cumulative rewards
610,"[-145.74193375038752, -126.57891305296127, -633.3249564738704, -249.43549964419998, -141.22215487838983, -105.39117252058614, -107.9283382954417, -196.3720615399493, -336.84194562047105, -60.433788377331624]"
620,"[-142.88518191231813, -75.79662329619882, -145.8624723805709, -187.75453454521113, -125.35560203860837, -134.28351736330345, -110.82901841952378, -132.00641638508543, -140.0077956787667, -139.80939642814354]"
630,"[-38.60532135199287, -140.99377246820237, 5.614577454736676, -98.14799602573703, -132.96028760887737, -191.75331610141717, -95.22977394281637, -151.88196893290944, -100.90728868319837, -148.1680748349772]"
640,"[-121.86950926180018, -118.45503080583265, -119.58489468513912, -575.8305444676362, -160.68860320284946, -205.3600755473823, -191.73152154265054, -124.70067859175924, -125.33086026153362, -154.61707945474103]"
650,"[-113.26083842035962, -122.81616805652814, -104.38006100204342, -262.5526444084142, -108.20208473585168, -104.18993164167071, -127.5777281357899, -243.57763364251062, -146.88916270617952, -135.9098567832176]"
660,"[-376.4774073591463, -159.88295113620143, -150.69803023624695, -130.87554996470638, -210.63319038098285, -314.64439788724667, 34.14175269126221, -140.17265570442524, -249.55052462922515, -193.16868783028866]"
670,"[-381.81267325419736, -147.90295706064953, -135.70682836411626, -255.6124114762796, -156.7122470692524, -516.9097608194461, -235.21372582695142, -277.7630658887267, -136.00578414303078, -94.47755677953475]"
680,"[-106.1171836153934, -152.1640221260044, -129.34865842351175, -158.12216167933667, -142.5661108239372, -273.9263882325945, -120.34662141237865, -107.89154840463402, -155.60199869208225, -110.55570724260136]"
690,"[-166.7438874089293, -482.6111454258434, -186.06334712746744, -308.20539739303956, -432.4518133318363, -121.99128807508669, -141.62627097363543, -133.1255288755186, -133.75368534033103, -295.2516005288853]"
700,"[-142.81935764000252, -109.78397144533639, -138.50750816987045, 15.608100473811731, -171.18974951333175, -100.92960893970326, -182.98923202411558, -136.67803075772036, -169.58933537211468, -135.6725146925863]"
710,"[-502.7394691502418, -130.85260989793653, -99.87025885541664, -146.64450394582545, -163.46585984169343, -142.26035331574613, -162.61894198873054, -125.8445161869204, -292.6617378264418, -120.58171073989192]"
720,"[-81.9407481760982, -119.57030510738755, -118.2068985246963, -93.69341364716567, -164.47332384009067, -117.49472813965863, -158.88197937638472, -135.3606343631043, -309.2015998083183, -547.6579056992485]"
730,"[-19.802299966469732, -118.05564273295707, -122.27175760039086, -655.8175421428758, -123.61116210366839, -183.46069038548245, -140.7579446597206, -329.92420117497505, -121.40179425744128, -136.48164717131138]"
740,"[-144.5386517975471, -150.99879071706755, -96.99947163725156, -148.3604778189567, -140.95785767509204, -183.25220197152544, -118.24803652404262, -99.85439918826131, -121.81802375214885, -435.39220333595676]"
750,"[-84.55790906656318, -147.3312230219378, -112.84273982926155, -102.93132110471663, -117.23488046920977, -118.53551541578652, -44.06897584245809, -188.34647464877065, -101.30192464489264, -170.68465688072715]"
760,"[-119.89930919941338, -107.80753622879283, -126.8464692565164, -145.52605372803032, -280.49952307277107, -121.08483280277787, -119.67035003026233, -124.08436226908762, -136.1428317922088, -87.41639104986612]"
770,"[-134.1286601607833, -148.32129410195256, -149.12709427430332, -108.3560996299299, -143.41845380473936, -101.71580505991224, -124.09823090641285, -152.68906308290363, -129.9252882579029, -93.56487312936014]"
780,"[-116.5681670098266, -122.61931823162064, -142.27692623083362, -539.8932838135827, -124.6169302164206, -137.70680455610625, -82.31256224571744, -298.02669951758196, -358.85322485804016, -61.22930850351065]"
790,"[-133.88487973089102, -117.16093844582625, -139.0710916832581, -122.5585003680514, -330.1976423828926, -360.9508703576609, -153.68205780884102, -539.1144764383268, -47.06985996720911, -38.995925574391705]"
800,"[-117.87956375407498, -122.84059023943428, -125.86953451174574, -323.0511828802096, -121.82810035661888, -116.40837958933571, -108.71611180425224, -277.73554767813147, -147.49842989478438, -105.61318364383462]"
810,"[-138.03727816927181, -153.08094402996971, -145.182920958411, -112.28811746754792, -77.18612384765206, -143.93626279405726, -160.06725184600228, -115.86415478284212, -245.13369351150615, -138.4215529635819]"
820,"[-125.57594234895754, -164.42848637526174, -158.0805531843493, -126.03275197275116, -131.45437828912824, -152.2135388363482, -50.208820703761006, -26.691171419736165, -139.64013750516924, -138.93605096985385]"
830,"[-476.5639421418243, -110.72642703465385, -145.18386466612856, -85.74222688949092, -123.60715940815447, -144.40548348217385, -138.08122058260196, -365.24476749867245, -141.0724689719394, -141.80014508079927]"
840,"[-123.22655135747826, -213.54926168788873, -140.157825632943, -118.44075093774512, -389.081081914174, -372.52526813345855, -134.44574699732308, -145.57931055786443, -317.1164443866374, -121.1202898923683]"
850,"[-237.50231343258088, -570.3168247312256, -133.35674010151715, -133.60879017107183, -159.57445247085033, -161.6761169129523, -117.73140390347902, -133.40641926946455, -149.46229635175723, -609.6306537697833]"
860,"[-158.46024318588402, -404.609578302071, -136.33729398290936, -146.96220873181966, -152.56744731937337, -121.43269133366158, -123.05824615706385, -149.53026536273057, -152.2095587217713, -147.85547483932842]"
870,"[-107.8551403395305, -178.04146009637046, -149.10178903317575, -106.31581396178558, -154.14752440510208, -595.1683434035641, -161.00638800888856, -95.05081387892633, -133.32673900460588, -128.73109524547442]"
880,"[-149.19665744291885, -202.88644948023654, 70.6132353000167, -140.82638368781187, -140.96910410515798, -104.30205271604896, -153.4496254681065, -139.46819730014766, -308.2701471189447, -385.4809925574112]"
890,"[-240.7653212398152, -135.6808598119332, 18.181134660002115, -145.3464923443394, -110.01027380448483, -191.71500755328321, -296.4584749059333, -397.6787285647793, -244.09927657778584, -153.04014084982003]"
900,"[-205.10150470098904, -312.9292000148152, -143.63780666040512, -92.67858678683712, -105.96949674249325, -230.6937738434179, -280.8340555743348, -136.60735777791896, -105.95999298210879, -230.6683335685492]"
910,"[-252.81010112752358, -109.60255073960307, -218.6567320107905, -369.42291041693716, -86.15816521130154, -175.24358956839063, -136.15973982878683, -288.61675598162157, -97.98502550117306, -114.42675868270871]"
920,"[-210.81436620560402, -147.82532501324314, -110.73572547597504, -150.6891680172902, -130.1478790048102, -473.26604183676665, -177.8091345536675, -104.6497303155225, -145.5992645987891, -284.5166900336193]"
930,"[-195.31206450138805, -79.5291402330162, -113.98998333409145, -193.37191413195706, -147.90802599661933, -108.51861875876966, -123.103430108894, -131.21907973848388, -112.00533879170433, -164.134772179303]"
940,"[-229.42830896760847, -158.76035954314455, -142.058305184723, -110.08584135477085, -181.63383420247075, -156.05683043028816, -122.67329155791171, -21.94986050109074, -129.94203988971103, -295.9338581868411]"
950,"[-150.74255291714, -92.82937067924496, -145.14772442138033, -108.69115568878723, -168.44918773624335, 38.03228637298908, -255.11471856027737, -79.80574782448534, -114.91470649912075, -138.3290212102585]"
960,"[-108.29248456575286, -98.32167493425803, -112.19586565677824, -156.53647042477806, -228.8374980375454, -109.42095836062205, -134.52490426923555, -162.06745802757254, -182.36780843406194, -148.98334019650508]"
970,"[-107.23646163720937, -166.12117121122418, -139.31115105847445, -175.33081091049723, -126.98184282396011, -85.20575019993296, -131.3560125546025, -96.45681520648408, -111.24362738500963, -132.51728372033497]"
980,"[-180.2888866982866, -8.79572409158962, -104.57453894022939, -156.03734837023265, -140.96277986470588, -169.95131839404388, -125.95136580487954, -126.6867854922773, -176.17417531255956, -137.05160973751182]"
990,"[-192.0899463906196, -296.88530748863536, 35.45611952867617, -122.07711138438805, -136.24082736638343, -122.24581458396719, -76.24766133839276, -283.01618147245676, -135.94347854994535, -165.447503230138]"
1000,"[-114.26986272924304, -151.21669780644635, -133.58225578738436, -436.42677065067255, -264.08558029042166, -162.87706775893304, -93.77130749533671, -107.7707624426842, -164.66090628441438, -144.25684715586175]"
1010,"[-265.5318541239918, -142.95201994321772, -122.96176788923097, -204.84039550989064, -422.4300240922983, -204.5383950281264, -134.18948301968754, -130.1345645961036, -130.39599500079652, -22.917949290262868]"
1020,"[-124.17609579108637, -127.45624069566071, -156.91093867938707, -114.90491114779525, -113.704006217553, -183.23673571732533, -126.39188207244703, -128.80262570276966, -437.3430592369416, -126.77840298134404]"
1030,"[-200.19991977729165, -129.40540806939055, 5.759400194281483, -212.02334008314517, -106.03629229360416, -261.7316086871741, -156.28500744555458, -401.6302251819579, -116.23228441453512, -131.7494329035182]"
1040,"[-174.94026573683203, -151.0973746258446, -179.12004526446353, -144.48955633763353, -222.7213203225047, -411.99287283181354, -263.7700650019664, -129.0922648236907, -426.3400355465562, -90.84598270043674]"
1050,"[-21.854084718518216, -129.82391468724143, -135.193370359964, -169.10300048180056, -106.19025048700041, -499.0511540966071, -338.9803062401623, -113.07360826568586, -134.05717587995431, -145.5530383114375]"
1060,"[-141.8794839006435, -103.81375271536311, -138.430884629708, -204.32365570427652, -147.6568262710844, -137.3701521824458, -118.85438203437147, -169.9640725931241, -122.34260580805352, -124.51048680360617]"
1070,"[-152.79605006316902, -132.17461740542993, -168.87894640527074, -125.65485438801258, -134.05999663567704, -189.07875607537284, -136.53839554362781, -130.5781127592609, -141.93570978218736, -406.71874178031345]"
1080,"[-130.6883234690054, -150.06638291256573, -208.1957974003673, -104.5263665589082, -139.83829044880352, -120.06850332927917, -118.82450133766343, -133.79129556583325, -120.23388420229838, -138.27201819679493]"
1090,"[-113.12188310416494, -388.5697181604284, -121.20192545555383, -150.72162104272732, -173.49123699661004, -498.54858245460093, -127.62211712574808, -277.76462010790146, -131.32681625833567, -158.44944234956535]"
1100,"[-170.0933691579018, -143.52414562378317, -627.8997801796211, -245.43206327005095, -122.70123664501895, -118.53620851846276, -102.69585892476064, -166.47898251510685, -160.3154341767886, -108.76537580277088]"
1110,"[-125.97419948213116, -127.97527010663975, -109.1778082279674, -156.00610643905722, -320.4148188203203, 21.931082024975424, -109.60993029371588, -167.55559610678895, -121.8270822235448, -107.90166176191471]"
1120,"[-188.86495253792867, -138.50761965425178, -488.6788064261095, -107.83863310753662, -123.85708510296755, -134.64274092081467, -277.6041820303833, -174.7197691786999, -403.5435975873963, -126.70269290703419]"
1130,"[-148.64557687651603, -116.14968996156637, -104.02769252206264, -103.9820432985816, -130.9105024346013, -137.1941553127086, -147.23799207331717, -108.63503215847575, -107.20053826309325, -123.76087318672415]"
1140,"[-397.0929113748273, -165.79655749393424, -81.30530986115434, -156.7126417981376, -104.04817098057396, -120.90202976039328, -171.004728662143, -112.28306507832224, -126.31509259414472, -130.2446296494692]"
1150,"[-153.44047371560885, -141.11601550842786, -173.84284097243193, -85.77618404093312, -141.48288746183118, -114.25766817259179, -130.9693444715141, -138.05183056631208, -148.80907856551102, -141.17351109645307]"
1160,"[-119.19190158965324, -136.4212014041292, -173.2399049958256, -157.1559368275027, -117.03946041160233, 4.2264450118833, -160.08135044349874, -453.8273898329553, -75.71355118423571, -474.71011187242755]"
1170,"[-154.81836392749233, -287.71019305342236, -100.65950042650516, -150.8492789072131, 10.80176876499172, -164.81420569423466, -145.33294458248864, -207.02114756256378, -270.08862826319387, -167.74726026482168]"
1180,"[-170.12514006533888, -132.16281858387873, -97.2581534480617, -121.13989603824032, -127.02190457856193, -95.96259455409984, -337.0582023676673, -156.05468346817818, -81.6131367015129, -157.17930292333412]"
1190,"[-126.60579758224293, -139.64970909632547, -108.6888642157015, -118.15091090752318, -142.57274094609573, -114.01636902978771, -94.72005403402312, -178.53752669349126, -131.60997197185205, -93.35636422330288]"
1200,"[-149.47513892635874, -98.32983605010529, -8.648520754557694, -149.5117594148434, -136.50290617823327, -98.90180372011258, -154.64361087488993, -215.33551302044214, -301.8466162232377, -124.36539111059898]"
1210,"[-131.65042551648298, -97.65307434451691, -126.17875898332593, -181.69960432877792, -84.92370813938751, -117.33632431454306, -144.1128796484822, -392.2052363543161, -136.29429582046635, -142.4187753553128]"
1220,"[-133.23962423673652, -99.09555703983528, -176.86401323201702, -479.4665946324284, -129.46413515322507, -118.06053285583748, -155.32346006679154, -305.2993329830527, -166.19659690134444, -145.76228824878885]"
1230,"[-129.70847182456228, -181.5964995547149, -174.17513355721997, -148.87848138262365, -599.1923105657396, -302.0031733788694, -136.12871344882504, -127.1179340701292, -471.5190747598485, -119.40002810937654]"
1240,"[-127.68946232134883, -108.94578864224121, -171.81545014948716, -158.5252364945711, -118.84044153932413, -72.13583655884594, -131.4342990837373, -164.00314826754513, -271.6788349639271, -141.2629685808885]"
1250,"[-135.62674991687584, -142.39858394207397, -141.74991719470512, -129.86646133972545, -122.97396187124092, -137.28626675398507, -133.83420667142917, -121.66905678638571, -154.59104021999397, -154.40299464188925]"
1260,"[-317.0178483057952, -119.8188488404976, -163.9898872760219, -156.77780703385412, -154.68088887245227, -124.16406429819665, -130.31757946645413, -231.6792776158096, -126.09803647445176, -137.57024492105614]"
1270,"[-152.49496174764653, -118.94323145083172, -155.38117806336717, -97.39543474051374, -119.01911957077024, -273.4184276729351, -146.66991721625618, -178.57892818368725, -125.84344835662728, -137.01449346047036]"
